country,region,year,ypp,school,avgage,exper,hum_cap,lf2,pop,sscap,kpw,lfpr
austria,Western Europe,1880,1625.581,1.59734,31.60483,24.00749,2.715463345090296,10630,22144,4231.295313041466,4231.295313041466,0.4800397398843931
austria,Western Europe,1890,1910.621,1.92418,31.71662,23.79244,2.827262700687776,12982,23896,4390.30222598209,4392.564320520984,0.5432708403080013
austria,Western Europe,1900,2253.135,2.24854,31.71313,23.46459,2.9370039584428573,13280,25964,5433.591684481551,5460.3245043705565,0.5114774302880912
austria,Western Europe,1910,2572.349,2.48786,31.56577,23.07791,3.0129419697324185,14951,28602,6191.121966307979,6152.491689193129,0.522725683518635
austria,Western Europe,1923,2222.068,2.65904,33.12977,24.47073,3.153273122913807,3084,6535,-13215.50315662947,24453.29446610842,0.471920428462127
austria,Western Europe,1934,2232.044,3.03657,36.36249,27.32592,3.444707516532685,2377,6749,6635.867754979583,18039.0200017896,0.3522003259742184
austria,Western Europe,1951,3125,3.39688,36.69638,27.2995,3.6140318316376705,3320,6935,7721.907978038056,9918.156351756537,0.4787310742609949
austria,Western Europe,1961,5388,3.58578,37.09768,27.51189,3.7154544533936993,3370,7076,17501.848149198588,17421.169872435807,0.47625777275296777
austria,Western Europe,1971,7851,3.92604,39.1086,29.18256,3.953060148062186,3098,7456,40025.36479785306,36558.484133907805,0.4155042918454936
austria,Western Europe,1980,10509,6.83375,39.60285,26.76911,5.184482346723588,3402,7554,53559.887066591065,50372.84172659629,0.45035742652899124
austria,Western Europe,1990,12695,9.27441,40.27806,25.00365,6.213429512815995,3565,7712,63806.04757844644,62025.74464249099,0.46226659751037347
austria,Western Europe,2000,18084.79,10.85723,42.99588,26.13865,7.027942579191523,3751.117,8131,74168.95220792785,78785.28453303716,0.46133526011560694
belgium,Western Europe,1846,1039.177,0.49309,32.2332,25.7401,2.402289401606658,2010,4339,1978.5625078455794,1978.5625078455794,0.4632403779672736
belgium,Western Europe,1856,1164.156,1.39364,33.36702,25.97338,2.7188228203698186,2277,4548,2018.3674870366406,2030.7607435612085,0.5006596306068601
belgium,Western Europe,1866,1354.482,2.16433,33.8002,25.63587,3.0010343122550065,2426,4632,2741.0258720987963,2544.2134294267134,0.5237478411053541
